	delta	method	power
0	0.2	angle	1.0
1	0.4	angle	0.996
2	0.6	angle	0.77
3	0.8	angle	0.176
4	1.0	angle	0.072
5	1.2	angle	0.132
6	1.4	angle	0.372
7	1.6	angle	0.658
8	0.2	ball	1.0
9	0.4	ball	0.992
10	0.6	ball	0.66
11	0.8	ball	0.142
12	1.0	ball	0.058
13	1.2	ball	0.094
14	1.4	ball	0.268
15	1.6	ball	0.536
16	0.2	graph	1.0
17	0.4	graph	0.922
18	0.6	graph	0.36
19	0.8	graph	0.098
20	1.0	graph	0.046
21	1.2	graph	0.09
22	1.4	graph	0.192
23	1.6	graph	0.34
24	0.2	energy	1.0
25	0.4	energy	0.964
26	0.6	energy	0.43
27	0.8	energy	0.094
28	1.0	energy	0.046
29	1.2	energy	0.09
30	1.4	energy	0.21
31	1.6	energy	0.416
